trade_id,ticker,company_name,exchange,sector,trade_date,open_price_inr,high_price_inr,low_price_inr,close_price_inr,prev_close_inr,volume,market_cap_cr,pe_ratio,pb_ratio,dividend_yield,beta,52w_high_inr,52w_low_inr,nifty50_weight,portfolio,analyst_rating,shares_held,purchase_price_inr,currency
IN000297,NTPC,NTPC Limited,NSE,UTILITIES,01-01-2020,339.52,360.17,336.91,359.82,363.53,4284595,275329.41,40.435,7.9,0.474,0.467,433.8,265.42,3.5,MIDCAP_PORTFOLIO,BUY,347,302.51,INR
IN000327,NTPC,NTPC Limited,NSE,UTILITIES,01-01-2020,354.57,364.88,343.68,349.93,362.05,2749879,337795.51,19.15,10.68,1.372,0.449,435.74,296.08,5.1,NIFTY50_PORTFOLIO,BUY,1050,392.36,INR
IN000365,NTPC,NTPC Limited,NSE,UTILITIES,01-01-2020,334.07,341.27,330.13,331.45,343.06,2394789.5,179737.85,30.71,14.58,0.891,0.995,387.89,281.53,5.1,NIFTY50_PORTFOLIO,BUY,1199,384.43,INR
IN004046,ADANIENT,Adani Enterprises,NSE,CONGLOMERATE,04-01-2020,2893.3,2901.69,2720.11,2776.9,2815.02,3921449,1167148.48,46.78,5.12,3.187,1.109,3075.59,2291.79,0.5,NIFTY50_PORTFOLIO,SELL,711,2398.88,INR
IN004060,ADANIENT,Adani Enterprises,NSE,CONGLOMERATE,04-01-2020,2682.3,2733.65,2462.63,2520.27,2446.4,2811724,1465764.67,53.07,7.76,1.8295,1.837,3270.1,2520.27,5.1,SECTORAL_PORTFOLIO,BUY,1114,2695.6,INR
IN003942,AXISBANK,Axis Bank,BSE,FINANCE,04-01-2020,1100.62,1144.6,1085.97,1143.57,1144.48,2819427,448361.57,59.36,1.5,3.528,0.862,1531.91,676.72,3.5,NIFTY50_PORTFOLIO,HOLD,246,1212.54,INR
IN003985,AXISBANK,Axis Bank,BSE,FINANCE,04-01-2020,1057.44,1059.64,986.45,1011.39,1031.67,2308547,492277.4,27.91,6.73,1.933,1.801,1391.44,676.46,5.1,SECTORAL_PORTFOLIO,BUY,1574,955.49,INR
IN004027,AXISBANK,Axis Bank,BSE,FINANCE,04-01-2020,1076.32,1099.02,1040.64,1049.59,1014.6,4021766,1074870.19,15.85,6.87,0.259,1.646,1232.36,716.87,0.5,SECTORAL_PORTFOLIO,HOLD,708,1188.52,INR
IN004045,AXISBANK,Axis Bank,BSE,FINANCE,04-01-2020,1093.42,1131.57,1074.52,1116.47,1141.2,1675859,1053791.39,73.7,10.17,3.014,0.511,1420.06,712.72,3.5,NIFTY50_PORTFOLIO,HOLD,373,1046.2,INR
IN002214,BAJFINANCE,Bajaj Finance,NSE,NBFC,04-01-2020,7147.81,7259.54,7026.25,7184.13,7041.12,3814862,3063798.64,71.69,12.13,0.768,1.99,8249.21,6031.99,0.5,MIDCAP_PORTFOLIO,BUY,954,6033.58,INR
IN004414,BHARTIARTL,Bharti Airtel,NSE,TELECOMMUNICATION,04-01-2020,872.05,921.09,864,872.05,898.6,1447142,696140.6,67.93,14.55,0.158,0.775,1162.66,610.99,0.5,NIFTY50_PORTFOLIO,BUY,338,756.62,INR
IN004450,BHARTIARTL,Bharti Airtel,NSE,TELECOMMUNICATION,04-01-2020,872.09,941.31,871.73,914.2,938.51,2137728,69322.07,45.13,11.85,3.583,1.319,947.03,732.35,1.2,SECTORAL_PORTFOLIO,SELL,862,1041.69,INR
IN004451,BHARTIARTL,Bharti Airtel,NSE,TELECOMMUNICATION,04-01-2020,864.92,918.31,842.93,916.29,903.72,2681389,164618.62,73.71,12.86,2.182,1.189,980.41,601.78,0,MIDCAP_PORTFOLIO,BUY,1603,917.17,INR
IN001038,HINDUNILVR,Hindustan Unilever,NSE,FMCG,04-01-2020,2451.81,2469.79,2317.35,2327.95,2408.92,2561570,1121527.22,47.31,9.03,2.026,1.28,2844.22,1565.21,0.5,MIDCAP_PORTFOLIO,SELL,1577,3026.28,INR
IN001050,HINDUNILVR,Hindustan Unilever,NSE,FMCG,04-01-2020,2499.83,2612.36,2491.52,2589.91,2590.81,4432405,1233333.21,67.78,2.23,3.099,1.427,3247.76,1633.08,3.5,MIDCAP_PORTFOLIO,BUY,251,2875.61,INR
IN001058,HINDUNILVR,Hindustan Unilever,NSE,FMCG,04-01-2020,2528.49,2583.02,2392.47,2414.74,2391.31,1186365,1398609.34,45.69,14.16,1.875,0.562,3371.64,1523.28,2.3,MIDCAP_PORTFOLIO,HOLD,1971,2366.15,INR
IN001079,HINDUNILVR,Hindustan Unilever,NSE,FMCG,04-01-2020,2385.49,2554.67,2338.52,2499.35,2494.69,3378766,1840383.95,50.49,1.64,2.026,1.142,3202.91,1868.86,1.2,MIDCAP_PORTFOLIO,BUY,1336,2448.4,INR
IN001121,HINDUNILVR,Hindustan Unilever,NSE,FMCG,04-01-2020,2460.46,2644.24,2450.58,2578.81,2675.08,4863042,1917190.14,47.31,3.08,2.094,0.853,2924.26,1521.15,2.3,NIFTY50_PORTFOLIO,SELL,608,2909.6,INR
IN003522,INFY,Infosys,NSE,TECHNOLOGY,04-01-2020,1507.45,1556.97,1472.84,1520.5,1542.09,1373835,499470.39,17.69,8.085,1.977,0.857,1885.69,1390.35,2.3,MIDCAP_PORTFOLIO,HOLD,528,1209.99,INR
IN003525,INFY,Infosys,NSE,TECHNOLOGY,04-01-2020,1425.62,1455.42,1414.96,1424.96,1372.49,4300737,1017575.81,37.99,3.97,1.888,1.344,1873.56,1052.11,2.3,MIDCAP_PORTFOLIO,BUY,1682,1566.69,INR
