trade_id,ticker,trade_date,open_price,high_price,low_price,close_price,volume,market_cap_usd,pe_ratio,dividend_yield,beta,sector,portfolio,currency,analyst_rating,shares_held,purchase_price
  Trd00742  ,META,01-01-2020,632.8,662.89,618.75,648.67,29574983,1617168041,49.13,1.816,0.421,Financial,Portfolio_B,Usd,Buy,2387,576.3
Trd01102,JPM,02-01-2020,735.46,739.73,652.32,682.63,38337831,3740648569,57.46,2.387,1.801,Technology,Portfolio_A,Usd,Sell,828,631.73
Trd00595,AMZN,03-01-2020,659.44,660.69,604.69,607.69,10089375,5539461395,20.57,2.486,0.628,Consumer,Portfolio_B,Eur,Sell,2729,659.13
Trd00686,GOOGL,03-01-2020,522.12,571.82,502.52,555.74,23904732,3563607169,7.04,3.578,2.348,Technology,Portfolio_C,Usd,Buy,1923,534.67
Trd01812,META,03-01-2020,642.01,676.82,622.18,659.04,25562169,1949394570,79.19,2.235,1.915,Financial,Portfolio_A,Eur,Buy,1443,628.63
Trd01211,BAC,06-01-2020,505.26,521.87,457.12,472.66,45376203,1949394570,67.56,2.406,2.408,Technology,Portfolio_B,Usd,Sell,1233,397.55
Trd00117,BRK,06-01-2020,150.46,165.53,148.48,159.94,4339459,1281416728,27.67,0.355,0.473,Consumer,Portfolio_A,Usd,Sell,3661,165.32
Trd00371,JPM,06-01-2020,752.81,793.41,743.92,760.66,29676121,3606554530,49.62,2.465,1.402,Technology,Portfolio_A,Gbp,Buy,882,799.44
Trd00888,AMD,07-01-2020,417.37,437.68,380.71,397.05,11479581,2235616230,46.56,0.786,0.35,Consumer,Portfolio_B,Gbp,Buy,2693,377.09
Trd01011,BRK,07-01-2020,71.77,73.52,69.5,72.05,24797940,545624491,43.73,4.958,2.235,Consumer,Portfolio_A,Usd,Sell,4411,74.2
Trd01083,GOOGL,07-01-2020,587.28,615.38,538.57,556.29,25562169,1949394570,23.25,2.665,1.732,Financial,Portfolio_A,Usd,Sell,4941,446.89
Trd01279,META,07-01-2020,579.71,604.95,554.24,555.89,1779824,3578464050,60.62,1.372,2.324,Consumer,Portfolio_C,Gbp,Sell,1151,446.66
Trd00725,MSFT,08-01-2020,409.51,439.15,401.48,427.53,11454150,3550204417,37.85,0.18,1.096,Technology,Portfolio_B,Eur,Buy,2773,446.26
Trd01603,BRK,09-01-2020,414.25,420.84,378.64,387.33,1267464,1241142822,58.3,1.076,2.069,Consumer,Portfolio_A,Usd,Sell,2370,392.99
Trd01242,NVDA,09-01-2020,89.22,91.91,82.66,86.62,27363388,469362596.8,65.73,2.925,1.47,Financial,Portfolio_B,Usd,Sell,-301,87.6
Trd00379,WFC,09-01-2020,125.56,131.24,116.76,121.52,13888167,677222696.6,60.63,0.078,1.535,Financial,Portfolio_B,Usd,Sell,3294,121.77
Trd01897,META,10-01-2020,99.38,102.76,89.23,93.37,25562169,532476224.9,68.07,4.595,0.679,Consumer,Portfolio_C,Eur,Sell,3907,80.14
Trd00185,NFLX,13-01-2020,730.13,737.99,655.58,674.57,15957686,2052029798,78.24,0.887,2.498,Technology,Portfolio_B,Usd,Buy,4022,606.8
Trd00740,TSLA,13-01-2020,449.52,479.8,430.21,438.495,45025437,2797205795,34.92,2.453,0.685,Energy,Portfolio_B,Usd,Buy,83,467.92
