trade_id,ticker,company_name,exchange,sector,trade_date,open_price_inr,high_price_inr,low_price_inr,close_price_inr,prev_close_inr,volume,market_cap_cr,pe_ratio,pb_ratio,dividend_yield,beta,52w_high_inr,52w_low_inr,nifty50_weight,portfolio,analyst_rating,shares_held,purchase_price_inr,currency,broker_notes,data_feed
IN002300,WIPRO,Wipro,BSE,Technology,2022-01-05,481.23,505.64,472.37,496.0,478.65,1896221.0,413204.89,73.91,5.39,3.921,1.751,531.92,412.76,0.0,Sectoral_Portfolio,Buy,1692.0,614.53,INR,,
IN003772,ONGC,Oil & Natural Gas Corp,NSE,Energy,2021-01-25,275.9,286.39,269.83,283.44,283.96,4109749.0,181058.88,47.36,5.31,2.253,0.8,374.47,265.42,2.3,Nifty50_Portfolio,Hold,1369.0,253.48,INR,,
IN000034,AXISBANK,Axis Bank,BSE,Banking,2024-09-13,1090.62,1121.31,1014.92,,979.2,600575.0,1092213.4,51.91,,1.814,1.724,1357.73,874.87,2.3,Nifty50_Portfolio,Underperform,705.0,1329.61,INR,,
IN001245,AXISBANK,Axis Bank,BSE,Banking,2024-03-05,1125.47,1204.46,1118.98,1186.54,1217.79,2707442.0,181834.12,13.11,13.71,,0.668,1427.67,757.05,5.1,Nifty50_Portfolio,Hold,1097.0,1225.77,INR,,
IN003051,HDFCBANK,HDFC Bank,NSE,,2021-09-20,1666.82,1683.05,1594.95,1635.55,1652.61,3227434.0,1213032.4,29.06,10.85,0.599,1.059,1697.7,1302.95,1.2,Midcap_Portfolio,Strong Buy,1330.0,1582.56,INR,,
IN002241,SUNPHARMA,Sun Pharmaceutical,BSE,Pharma,2022-08-25,1166.41,1219.05,1139.79,1184.95,1230.82,2933804.0,,32.1,8.7,2.272,1.405,1474.94,1087.49,1.2,Nifty50_Portfolio,Strong Buy,1150.0,1052.43,INR,,
IN004138,HINDUNILVR,Hindustan Unilever,NSE,FMCG,2021-01-01,2481.21,2661.68,2433.37,2607.9,2567.34,224218.0,1918505.62,76.01,,1.667,1.232,3398.45,1687.09,2.3,Nifty50_Portfolio,Hold,1653.0,2871.66,INR,,
IN004079,NTPC,NTPC Limited,NSE,Utilities,2022-04-07,361.37,366.65,342.4,346.9,333.16,2527533.0,185815.98,65.04,14.05,2.587,0.97,373.09,244.45,1.2,Nifty50_Portfolio,Underperform,1330.0,374.31,INR,,
IN002441,SBIN,State Bank of India,NSE,Banking,2023-02-23,596.44,607.22,576.86,593.96,591.58,2047179.0,110265.25,9.44,5.53,2.565,0.415,654.0,414.74,1.2,Midcap_Portfolio,Buy,1236.0,677.7,INR,,
IN001913,WIPRO,Wipro,BSE,Technology,2024-06-20,488.26,524.55,487.51,519.58,513.59,1627065.0,316574.16,35.14,3.07,0.04,0.445,616.92,399.36,0.5,Midcap_Portfolio,Buy,719.0,491.21,INR,,
